id,taxon_name,common_name
species/8471,Atalophlebia,Mayfly
species/8510,Nematoda,Nematode Worm
species/8501,Coloburiscoides,Mayfly nymph
species/8468,Ostracoda,Seed Shrimp
species/8465,Cladocera,Water Flea
species/8496,Stratiomyidae,Soldier Fly larva
species/8493,Hygrobiidae,Screech Beetle larva
species/8511,Oligochaeta,Freshwater Segmented Worm
species/15119,Aepyprymnus rufescens,Rufous Bettong
species/8426,Antechinus flavipes,Yellow-footed Antechinus
species/13672,Balaenoptera physalus,Fin Whale
species/8382,Underwoodisaurus milii,Thick-tailed Gecko
species/8379,Heteronotia binoei,Bynoe's Gecko
species/8393,Ctenotus,Ctenotus Skink
species/8384,Varanus varius,Tree Goanna
species/8457,Pseudomys shortridgei,Heath Rat
species/8376,Rankinia diemensis,Mountain Dragon
species/8429,Sminthopsis crassicaudata,Fat-tailed Dunnart
species/8459,Rattus lutreolus,Australian Swamp Rat
species/8408,Tadarida australis,White-striped Free-tailed Bat
species/8413,Dama dama,Fallow Deer
species/15228,Egernia cunninghami,Cunningham's Skink
species/8394,Egernia,Egernia Skink
species/8428,Antechinus swainsonii,Dusky Antechinus
species/8395,Eulamprus,Water Skink
species/8421,Macropus rufogriseus,Red-necked Wallaby
species/8385,Aprasia inaurita,Red-tailed Worm-lizard
species/8387,Delma australis,Southern Legless Lizard
species/8391,Lialis burtonis,Burton's Snake-lizard
species/8398,Tiliqua occipitalis,Western Blue-tongue
species/8372,Ctenophorus pictus,Painted Dragon
species/8389,Delma impar,Striped Legless Lizard
species/8439,Cercartetus concinnus,Western Pygmy Possum
species/15230,Ctenotus taeniolatus,Copper-tailed Skink
species/8425,Antechinus agilis,Agile Antechinus
species/8458,Rattus fuscipes,Australian Bush Rat
species/8449,Trichosurus vulpecula,Common Brushtail Possum
species/8452,Lepus capensis,Brown Hare
species/8390,Delma inornata,Patternless Legless Lizard
species/8378,Diplodactylus vittatus,Wood Gecko
species/8388,Delma butleri,Butler's Legless Lizard
species/8403,Perameles nasuta,Long-nosed Bandicoot
species/8405,Nyctophilus geoffroyi,Lesser Long-eared Bat
species/8430,Sminthopsis leucopus,White-footed Dunnart
species/8454,Rattus norvegicus,Brown Rat
species/14292,Delphinus delphis,Common Dolphin
species/8445,Petaurus breviceps,Sugar Glider
species/8370,Amphibolurus norrisi,Mallee Tree Dragon
species/8444,Petaurus australis,Yellow-bellied Glider
species/8420,Macropus robustus,Common Wallaroo
species/14336,Pseudorca crassidens,False Killer Whale
species/8417,Capra hircus,Goat
species/8453,Oryctolagus cuniculus,European Rabbit
species/14333,Balaenoptera edeni,Bryde's Whale
species/8396,Lampropholis,Garden Skink
species/8433,Pseudomys apodemoides,Silky Mouse
species/8406,Pteropus scapulatus,Little Red Flying-fox
species/14334,Orcinus orca,Killer Whale
species/8409,Vespadelus vulturnus,Little Forest Bat
species/8415,Vulpes vulpes,Red Fox
species/14335,Globicephala melas,Long-finned Pilot Whale
species/8371,Ctenophorus fordi,Mallee Military Dragon
species/8386,Aprasia parapulchella,Pink-tailed Legless Lizard
species/8432,Notomys mitchellii,Mitchell's Hopping Mouse
species/8448,Trichosurus cunninghami,Mountain Brushtail Possum
species/8435,Phascogale tapoatafa,Brush-tailed Phascogale
species/8443,Petauroides volans,Greater Glider
species/8411,Cervus elaphus,Red Deer
species/8412,Cervus unicolor,Sambar
species/8427,Antechinus minimus,Swamp Antechinus
species/8440,Cercartetus lepidus,Little Pygmy Possum
species/8450,Potorous longipes,Long-footed Potoroo
species/8438,Burramys parvus,Mountain Pygmy Possum
species/14337,Ziphius cavirostris,Cuvier's Beaked Whale
species/14339,Kogia breviceps,Pygmy Sperm Whale
species/14338,Mesoplodon grayi,Gray's Beaked Whale
species/8354,Pseudophryne dendyi,Dendy's Toadlet
species/8361,Litoria lesueuri,Lesueur's Frog
species/8360,Litoria ewingii,Brown Tree Frog
species/8365,Litoria raniformis,Southern Bell Frog
species/8347,Limnodynastes tasmaniensis,Spotted Grass Frog
species/8341,Crinia signifera,Common Eastern Froglet
species/8346,Limnodynastes peronii,Striped Marsh Frog
species/8350,Neobatrachus pictus,Painted Frog
species/8339,Heleioporus australiacus,Giant Burrowing Frog
species/8355,Pseudophryne semimarmorata,Southern Toadlet
species/8366,Litoria spenceri,Spotted Tree Frog
species/8340,Crinia parinsignifera,Eastern Sign-bearing Froglet
species/8353,Pseudophryne bibronii,Brown Toadlet
species/8362,Litoria littlejohni,Littlejohn's Tree Frog
species/8364,Litoria paraewingi,Victorian Frog
species/8342,Crinia sloanei,Sloane's Froglet
species/8344,Geocrinia victoriana,Eastern Smooth Frog
species/8356,Uperoleia laevigata,Smooth Toadlet
species/8343,Geocrinia laevis,Smooth Froglet
species/8349,Mixophyes balbus,Stuttering Frog
species/8300,Acanthopagrus butcheri,Black Bream
species/15132,Galaxias maculatus,Common Galaxias
species/14984,Philypnodon grandiceps,Flathead Gudgeon
species/8295,Pomatomus saltatrix,Tailor
species/8299,Sphyraena novaehollandiae,Snook
species/14293,Thyrsites atun,Barracouta
species/13728,Arripis trutta,Eastern Australian Salmon
species/8164,Dasyornis (Maccoyornis) broadbenti,Rufous Bristlebird
species/15121,Coracina papuensis,White-bellied Cuckoo-shrike
species/15120,Philemon citreogularis,Little Friarbird
species/12608,Philemon corniculatus,Noisy Friarbird
species/8255,Gallinula tenebrosa,Dusky Moorhen
species/14398,Heteronympha merope,Common Brown Butterfly
species/8272,Threskiornis spinicollis,Straw-necked Ibis
species/8190,Petroica phoenicea,Flame Robin
species/8207,Elseyornis melanops,Black-fronted Dotterel
species/10572,Opodiphthera helena,Helena Gum-moth
species/7364,Epthianura albifrons,White-fronted Chat
species/8247,Aythya australis,Hardhead
species/8153,Callocephalon fimbriatum,Gang-gang Cockatoo
species/8146,Falco peregrinus,Peregrine Falcon
species/8192,Eudyptula minor,Little Penguin
species/12400,Sericornis frontalis,White-browed Scrubwren
species/8143,Falco berigora,Brown Falcon
species/14394,Geitoneura klugii,Marbled Xenica
species/12249,Zizina otis labradus,Common Grass-blue
species/8188,Streptopelia chinensis,Spotted Turtle-dove
species/8267,Plegadis falcinellus,Glossy Ibis
species/8150,Ninox strenua,Powerful Owl
species/8182,Neophema chrysostoma,Blue-winged Parrot
species/8271,Threskiornis molucca,Australian White Ibis
species/14376,Ptilonorhynchus violaceus,Satin Bowerbird
species/8145,Falco longipennis,Australian Hobby
species/8206,Cladorhynchus leucocephalus,Banded Stilt
species/8208,Erythrogonys cinctus,Red-kneed Dotterel
species/8209,Gallinago hardwickii,Latham's Snipe
species/14392,Danaus plexippus,Monarch
species/8570,Gryllotalpa,Mole Cricket
species/15222,Aenetus eximia,Splendid Ghost Moth
species/12387,Acanthiza pusilla,Brown Thornbill
species/7343,Cisticola exilis,Golden-headed Cisticola
species/8162,Neochmia temporalis,Red-browed Finch
species/8256,Gallirallus philippensis,Buff-banded Rail
species/7386,Coturnix ypsilophora,Brown Quail
species/7327,Acanthiza lineata,Striated Thornbill
species/8158,Chrysococcyx osculans,Black-eared Cuckoo
species/8194,Puffinus tenuirostris,Short-tailed Shearwater
species/8269,Lewinia pectoralis,Lewin's Rail
species/8563,Psaltoda moerens,Redeye Cicada
species/7219,Acrocephalus australis,Australian Reedwarbler
species/15214,Endoxyla secta,Goat Moth
species/15216,Snellenia,Snellenia moths
species/14400,Tisiphone abeona,Sword-grass Brown
species/8175,Todiramphus sanctus,Sacred Kingfisher
species/6375,Entomyzon cyanotis,Blue-faced Honeyeater
species/8228,Acridotheres tristis,Common Myna
species/12388,Psophodes olivaceus,Eastern Whipbird
species/8156,Cacomantis flabelliformis,Fan-tailed Cuckoo
species/11414,Belenois java teutonia,Caper White Butterfly
species/8249,Botaurus poiciloptilus,Australasian Bittern
species/8237,Sturnus vulgaris,Common Starling
species/8270,Stictonetta naevosa,Freckled Duck
species/8159,Cuculus pallidus,Pallid Cuckoo
species/7320,Ninox connivens,Barking Owl
species/8590,Phaulacridium vittatum,Wingless Grasshopper
species/12393,Corvus tasmanicus,Forest Raven
species/8242,Anas rhynchotis,Australasian Shoveler
species/15220,Amata,Moth
species/8147,Haliaeetus leucogaster,White-bellied Sea-eagle
species/15221,Urolitha bipunctifera,Emerald
species/15223,Anthela varia,Varied Anthelid
species/15218,Fodina ostorius,Noctuid moth
species/15219,Chlorocoma carenaria,Veined Emerald
species/8571,Teleogryllus commodus,Black Field Cricket
species/15224,Comocrus behri,Mistletoe Moth
species/8224,Tachybaptus novaehollandiae,Australasian Grebe
species/8181,Glossopsitta concinna,Musk Lorikeet
species/8217,Numenius madagascariensis,Eastern Curlew
species/14380,Petroica rodinogaster,Pink Robin
species/8204,Charadrius bicinctus,Double-banded Plover
species/6167,Tyto alba javanica,Barn Owl
species/8241,Anas gracilis,Grey Teal
species/14403,Hesperilla chrysotricha,Golden-haired Sedge-skipper
species/8589,Caedicia,Katydid
species/12264,Papilio (Eleppone) anactus,Dingy Swallowtail
species/14390,Hypochrysops delicia,Moonlight Jewel
species/14402,Graphium macleayanum,Macleay's Swallowtail
species/7374,Strepera versicolor,Grey Currawong
species/12254,Delias aganippe,Red-spotted Jezebel Butterfly
species/14395,Oreisplanus perornatus,Mountain Spotted Skipper
species/8274,Pieris rapae,Cabbage White
species/8273,Candalides hyacinthinus,Varied Dusky Blue
species/8245,Ardea ibis,Cattle Egret
species/14391,Pseudalmenus chlorinda,Silky Hairstreak
species/14816,Tyto novaehollandiae,Masked Owl
species/8160,Scythrops novaehollandiae,Channel-billed Cuckoo
species/14399,Oreixenica kershawi,Striped Xenica
species/14396,Hesperilla donnysa,Varied Sedge-skipper
species/8203,Calidris tenuirostris,Great Knot
species/8213,Larus dominicanus,Kelp Gull
species/8138,Accipiter cirrocephalus,Collared Sparrowhawk
species/14397,Heteronympha banksii,Bank's Brown
species/14388,Heteronympha penelope,Shouldered Brown
species/11438,Toxidia doubledayi,Lilac Grass-skipper
species/14393,Geitoneura acantha,Ringed Xenica
species/14401,Hesperilla idothea,Flame Sedge-skipper
species/8532,Castiarina,Jewel Beetle
species/8542,Lamprima aurata,Golden Stag Beetle
species/8529,Anoplognathus,Christmas Beetle
species/8534,Chrysolopus spectabilis,Botany Bay Weevil
species/8546,Ptomaphila lacrymosa,Carrion Beetle
species/8526,Acrossidius tasmaniae,Black-headed Pasture Cockchafer
species/8527,Adelium similatum,Darkling Beetle
species/8528,Adoryphorus coulonii,Red-headed Pasture Cockchafer
species/8535,Conoderus,Click Beetle
species/8537,Diphucephala,Green Scarab Beetle
species/8543,Paropsis atomaria,Eucalyptus Leaf Beetle
species/8544,Phoracantha semipunctatus,Common Eucalypt Longicorn
species/8549,Apiomorpha,Gall Former
species/8550,Cardiaspina,Lace Lerp
species/8554,Glycaspis,Sugar Lerp
species/8555,Gminatus australis,Assassin Bug
species/8560,Scolypopa australis,Passionvine Hopper
species/8562,Siphanta,Green Planthopper
species/8552,Dindymus versicolor,Harlequin Bug
species/8561,Sextius virescens,Green Treehopper
species/8547,Stegobium paniceum,Drugstore Beetle
species/8553,Eurymela,Gumtree Hopper
species/8556,Icerya purchasi,Cottony Cushion Scale
species/8557,Mictis profana,Crusader Bug
species/8545,Porrostoma,Lycid Beetle
species/8531,Calosoma schayeri,Green Carabid Beetle
species/8539,Eupoecila australasiae,Fiddler Beetle
species/15126,Blackburniella intricata,Checkered beetle
species/8540,Harmonia conformis,Common Spotted Ladybird
species/8536,Creophilus erythrocephalus,Devil's Coach Horse
species/8548,Xanthogaleruca luteola,Elm Leaf Beetle
species/8530,Anthrenus verbasci,Carpet Beetle
species/8558,Oxycarenus arctatus,Coon Bug
species/8520,Leptomyrmex erythrocephalus,Red-headed Spider Ant
species/8610,Sceliphron laetum,Common Mud-dauber
species/8611,Stilbum cyanurum,Cuckoo Wasp
species/15125,Ichneumonidae,
species/8607,Echthromorpha intricatoria,Cream-spotted Ichneumon
species/8525,Apis (Apis) mellifera,European Honey Bee
species/8518,Camponotus consobrinus,Sugar Ant
species/8521,Myrmecia pilosula,Jumper Ant
species/8523,Rhytidoponera metallica,Greenhead Ant
species/15124,Pheidole,big headed ants
species/8524,Amegilla,Blue-banded Bee
species/8609,Polistes humilis,Common Paperwasp
species/8605,Brachymeria,Parasitic Chalcid Wasp
species/8140,Aquila audax,Wedge-tailed Eagle
species/15200,Atherinosoma microstoma,Smallmouth Hardyhead
species/14418,Pseudocaranx georgianus,Silver Trevally
species/15277,Engraulis australis,Australian Anchovy
