id,taxon_name,common_name
species/13748,Pseudonepanthia troughtoni,Seastar
species/8692,Hapalochlaena maculosa,Southern Blue-ringed Octopus
species/8442,Gymnobelideus leadbeateri,Leadbeater's Possum
species/8741,Heliocidaris erythrogramma,Sea Urchin
species/8321,Meuschenia freycineti,Sixspine Leatherjacket
species/8320,Brachaluteres jacksonianus,Southern Pygmy Leatherjacket
species/14370,Leptomithrax gaimardii,Giant Spider Crab
species/8461,Sepioteuthis australis,Southern Calamari Squid
species/14324,Pempheris multiradiata,Bigscale Bullseye
species/8743,Coscinasterias muricata,Eleven-armed Seastar
species/8745,Nectria ocellata,Ocellate Seastar
species/8618,Phlyctenactis tuberculosa,Swimming Anemone
species/8669,Ovalipes australiensis,Sand Crab
species/8193,Morus serrator,Australasian Gannet
species/8701,Euprymna tasmanica,Southern Bobtail Squid
species/8262,Phalacrocorax fuscescens,Black-faced Cormorant
species/8316,Pictilabrus laticlavius,Senator Wrasse
species/8327,Trachinops caudimaculatus,Southern Hulafish
species/8697,Octopus kaurna,Southern Sand Octopus
species/8281,Melicertus plebejus,Eastern King Prawn
species/14327,Meuschenia flavolineata,Yellowstriped Leatherjacket
species/8719,Tambja verconis,Verco's Nudibranch
species/8307,Tetractenos glaber,Smooth Toadfish
species/8306,Diodon nicthemerus,Globefish
species/14365,Arctocephalus forsteri,Australasian Fur Seal
species/14290,Arctocephalus pusillus,Australian Fur-seal
species/8303,Latridopsis forsteri,Bastard Trumpeter
species/14254,Contusus brevicaudus,Prickly Toadfish
species/14371,Strigopagurus strigimanus,Stridulating Hermit Crab
species/8336,Urolophus cruciatus,Banded Stingaree
species/8338,Urolophus paucimaculatus,Sparsely-spotted Stingaree
species/14251,Maxillicosta scabriceps,Little Gurnard Perch
species/8313,Notolabrus tetricus,Bluethroat Wrasse
species/14291,Fromia polypora,Seastar
species/8333,Cephaloscyllium laticeps,Draughtboard Shark
species/8319,Atypichthys strigatus,Mado
species/8337,Urolophus gigas,Spotted Stingaree
species/8325,Parma victoriae,Scalyfin
species/8297,Scorpis aequipinnis,Sea Sweep
species/8293,Upeneichthys vlamingii,Bluespotted Goatfish
species/8462,Sepia apama,Giant Australian Cuttlefish
species/8629,Barnea australasiae,Angel Wings
species/8434,Pseudomys fumeus,Smoky Mouse
species/8691,Argonauta nodosus,Knobbed Argonaut
species/8656,Guinusia chabrus,Red Rock Crab
species/8302,Girella zebra,Zebrafish
species/8308,Caesioperca lepidoptera,Butterfly Perch
species/8286,Gymnapistes marmoratus,Soldier
species/14329,Cenolia trichoptera,Feather Star
species/8310,Cheilodactylus nigripes,Magpie Perch
species/8639,Pecten (Pecten) fumatus,Commercial Scallop
species/8334,Dasyatis brevicaudata,Smooth Stingray
species/14326,Aldrichetta forsteri,Yelloweye Mullet
species/8750,Tosia australis,Biscuit Star
species/8199,Arenaria interpres,Ruddy Turnstone
species/14328,Arnoglossus muelleri,Mueller's Flounder
species/14325,Eubalichthys mosaicus,Mosaic Leatherjacket
species/14011,Macrorhynchia whiteleggei,Hydroid
species/8744,Meridiastra calcar,Eight-armed Cushion Star
species/14244,Botrylloides anceps,Ascidian
species/8288,Kathetostoma laeve,Common Stargazer
species/8311,Cheilodactylus spectabilis,Banded Morwong
species/8326,Tilodon sexfasciatus,Moonlighter
species/8693,Idiosepius notoides,Southern Pygmy Squid
species/14245,Herdmania grandis,Ascidian
species/8292,Sillaginodes punctatus,King George Whiting
species/14249,Beroe cucumis,Comb Jelly
species/8296,Dinolestes lewini,Longfin Pike
species/14414,Allostichaster palmula,Paddle-spined Seastar
species/8309,Caesioperca rasor,Barber Perch
species/14246,Conocladus australis,Basket Star
species/8694,Octopus maorum,Maori Octopus
species/14252,Electroma (Electroma) georgiana,Little Wing Pearl Shell
species/8436,Ornithorhynchus anatinus,Platypus
species/14247,Centrostephanus rodgersii,Black Sea Urchin
species/8703,Sepiadarium austrinum,Southern Bottletail Squid
species/14323,Tursiops truncatus,Bottlenose Dolphin
species/14255,Halophila australis,Paddle Weed
species/14366,Caperea marginata,Pygmy Right Whale
species/14256,Lepidotrigla papilio,Spiny Gurnard
species/14253,Spiniraja whitleyi,Melbourne Skate
species/8198,Anhinga novaehollandiae,Darter
species/5765,Milvus migrans,Black Kite
species/8470,Epiprocta,Dragonfly
species/8368,Amphibolurus muricatus,Jacky Lizard
species/8345,Limnodynastes fletcheri,Marsh Frog
species/8369,Diporiphora nobbi,Nobbi Dragon
species/14382,Lichenostomus melanops cassidix,Helmeted Honeyeater
species/8500,Zygoptera,Damselfly
species/8497,Epiprocta,Dragonfly nymph
species/8755,Scolopendridae,Scolopendrid Centipede
species/8559,Poecilometis,Shield Bug
species/8163,Podargus strigoides,Tawny Frogmouth
species/8814,Pholcus phalangioides,Daddy Long-legs
species/8810,Latrodectus hasseltii,Redback
species/8137,Hieraaetus morphnoides,Little Eagle
species/8592,Heoclisis,Antlion
species/12377,Dromaius novaehollandiae,Emu
species/8599,Ctenomorpha marginipennis,Margined-winged Stick-insect
species/8800,Badumna insignis,Black House Spider
species/8246,Ardea pacifica,White-necked Heron
species/8663,Lomis hirta,Hairy Stone Crab
species/8655,Galathea australiensis,Squat Lobster
species/14241,Amarinus laevis,Estuarine Sea Spider
species/8278,Pagurixus handrecki,Clarrie's Hermit Crab
species/14342,Palaemon intermedius,Striped Shrimp
species/14356,Paguristes sulcatus,Hairy-legged Hermit Crab
species/8674,Petrocheles australiensis,Spiny Porcelain Crab
species/13598,Lepas anserifera,Goose Barnacle
species/14351,Paguristes pugil,Boxer Hermit Crab
species/14346,Lophopagurus (Lophopagurus) nanus,Dwarf Hermit Crab
species/13740,Alpheus australosulcatus,Snapping Shrimp
species/13704,Hadrosquilla perpasta,Plump Mantis Shrimp
species/15886,Anomura,
species/13605,Ceradocus dooliba,Amphipod
species/8689,Jasus edwardsii,Southern Rock Lobster
species/8469,Paratya australiensis,Freshwater shrimp
species/8677,Tasmanoplax latifrons,Southern Sentinel Crab
species/6836,Pseudomys novaehollandiae,New Holland Mouse
species/8623,Chthamalus antennatus,Six-plated Barnacle
species/8621,Catomerus polymerus,Surf Barnacle
species/8653,Cyclograpsus granulosus,Purple-mottled Shore Crab
species/8666,Nectocarcinus tuberculosus,Velvet Crab
species/8667,Notomithrax minor,Small Seaweed Crab
species/8625,Ibla quadrivalvis,Hairy Stalked Barnacle
species/8678,Euidotea peronii,Sea Centipede
species/8649,Bellidilia laevis,Smooth Pebble Crab
species/8661,Leptograpsodes octodentatus,Burrowing Shore Crab
species/8672,Paragrapsus quadridentatus,Four-toothed Shore Crab
species/8622,Chamaesipho tasmanica,Honeycomb Barnacle
species/8275,Amphibalanus amphitrite,Striped Barnacle
species/8620,Austromegabalanus nigrescens,Giant Black Barnacle
species/8627,Tesseropora rosea,Rose Barnacle
species/8628,Tetraclitella purpurascens,Purple Four-plated Barnacle
species/8624,Austrominius covertus,Secret Four-plated Barnacle
species/8650,Bellidilia undecimspinosa,Large Pebble Crab
species/8660,Lamarckdromia globosa,Shaggy Sponge Crab
species/8665,Nectocarcinus integrifrons,Rough Rock Crab
species/8668,Notomithrax ursus,Bear Seaweed Crab
species/8670,Paragrapsus gaimardii,Red-spotted Shore Crab
species/8673,Parasesarma erythodactyla,Red-fingered Shore Crab
species/8676,Pinnotheres hickmani,Hickman's Pea Crab
species/14345,Crabyzos longicaudatus,Sea Centipede
species/14348,Neastacilla kanowna,Skeleton Louse
species/14350,Serolina acaste,Sand Skater
species/14349,Neastacilla inaequispinosa,Skeleton Louse
species/14347,Neastacilla deducta,Skeleton Louse
species/14344,Haliophasma cribense,Sea Centipede
species/8688,Ibacus peronii,Balmain Bug
species/8280,Alpheus villosus,Hairy Snapping Shrimp
species/8283,Rhynchocinetes australis,Hinge-beak Shrimp
species/13739,Michelaxiopsis australiensis,Mud Shrimp
species/13669,Alope orientalis,Bald Prawn
species/8654,Ebalia intermedia,Smooth Nut Crab
species/8651,Brachynotus spinosus,Little Shore Crab
species/13606,Euidotea bakeri,Sea Centipede
species/13604,Pilumnus monilifera,Beaded Hairy Crab
species/8671,Paragrapsus laevis,Mottled Shore Crab
species/8679,Zuzara venosa,Marine Pill Bug
species/14363,Austrosquilla osculans,Slender Mantis Shrimp
species/14367,Serolina delaria,Sand Skater
species/14355,Paranchialina angusta,Opossum Shrimp
species/13735,Acutigebia simsoni,Spiny Mud Shrimp
species/14343,Paridotea ungulata,Sea Centipede
species/14352,Leptomithrax sternocostulatus,Ribbed Spider Crab
species/14359,Pilumnus tomentosus,Common Hairy Crab
species/13607,Paridotea munda,Sea Centipede
species/14358,Pilumnus etheridgei,Hairy Crab
species/14357,Pilumnus acer,Long-spined Hairy Crab
species/8276,Naxia aurita,Smooth Seaweed Crab
species/14360,Alpheus parasocialis,Social Snapping Shrimp
species/8279,Alpheus richardsoni,Snapping Shrimp
species/14354,Palaemon dolospina,Soft-spined Shrimp
species/14340,Latreutes compressus,Blade-fronted Shrimp
species/14341,Leptochela (Leptochela) sydniensis,Sydney Comb Shrimp
species/14362,Biffarius ceramicus,Ceramic Ghost Shrimp
species/14361,Chlorotocella spinicaudus,Slender-beaked Shrimp
species/8441,Cercartetus nanus,Eastern Pygmy Possum
species/8437,Acrobates pygmaeus,Feathertail Glider
species/12259,Jalmenus evagoras,Imperial Hairstreak Butterfly
species/13968,Gymnangium superbe,Hydroid
species/8410,Felis catus,Cat
species/8746,Parvulastra exigua,Five-armed Cushion Star
species/8793,Parasuta nigriceps,Mitchell's Short-tailed Snake
species/8460,Vombatus ursinus,Common Wombat
species/8419,Macropus giganteus,Eastern Grey Kangaroo
species/8422,Macropus rufus,Red Kangaroo
species/8257,Grus rubicunda,Brolga
species/8424,Phascolarctos cinereus,Koala
species/8151,Cacatua galerita,Sulphur-crested Cockatoo
species/8244,Ardea alba,Great Egret
species/5767,Phalacrocorax sulcirostris,Little Black Cormorant
species/8219,Poliocephalus poliocephalus,Hoary-headed Grebe
species/8179,Leipoa ocellata,Malleefowl
species/8148,Haliastur sphenurus,Whistling Kite
species/8251,Chenonetta jubata,Wood Duck
species/12391,Colluricincla harmonica,Grey Shrike-thrush
species/8142,Elanus axillaris,Black-shouldered Kite
species/8144,Falco cenchroides,Nankeen Kestrel
species/8174,Dacelo novaeguineae,Laughing Kookaburra
species/8187,Ocyphaps lophotes,Crested Pigeon
species/8254,Fulica atra,Eurasian Coot
species/8218,Podiceps cristatus,Great Crested Grebe
species/16366,Tremoctopus gracilis,Blanket Octopus
species/8367,Litoria verreauxii,Verreaux's Frog
species/8456,Hydromys chrysogaster,Common Water Rat
species/8180,Alisterus scapularis,Australian King-parrot
species/8259,Oxyura australis,Blue-billed Duck
species/8165,Burhinus grallarius,Bush Stone-curlew
species/12376,Velesunio,Freshwater Mussels
species/15906,Micromus tasmaniae,Brown Lacewing
species/8446,Petaurus norfolcensis,Squirrel Glider
species/15892,Ophiurida,Brittle Star
species/15893,Pedunculata,Goose Barnacle
species/15891,Holothuroidea,
species/15895,Pycnogonida,
species/15899,Ammothella biunguiculata,Pycnogonid
species/15902,Nymphon molleri,Pycnogonid
species/15898,Pseudopallene ambigua,Pycnogonid
species/15903,Ascorhynchus longicollis,Pycnogonid
species/15904,Nymphopsis bathursti,Pycnogonid
species/15894,Valvifera,isopod
species/15896,Pycnogonum tuberculatum,Pycnogonid
species/14287,Ophiactis resiliens,Brittle Star
species/14289,Ophiacantha alternata,Brittle Star
species/15887,Ascorhynchus cooki,
species/15888,Colossendeis tasmanica,
species/8736,Ammothea australiensis,Pycnogonid
species/15897,Nymphon novaehollandiae,Pycnogonid
species/14372,Stylopallene cheilorhynchus,Pycnogonid
species/8738,Pallenopsis macneilli,Sea Spider
species/8739,Pycnogonum aurilineatum,Sea Spider
species/14373,Parapallene avida,Pycnogonid
species/8737,Anoplodactylus evansi,Sea Spider
species/14312,Chiridota gigas,Sea Cucumber
species/8712,Neoamphicyclus materiae,Sea Cucumber
species/14364,Scoliorhapis theeli,Sea Cucumber
species/8705,Neoamphicyclus mutans,Sea Cucumber
species/8708,Australostichopus mollis,Soft Sea Cucumber
species/8710,Leptosynapta dolabrifera,Sea Cucumber
species/8707,Squamocnus aureoruber,Sea Cucumber
species/8709,Staurothyone inconspicua,Sea Cucumber
species/13738,Taeniogyrus roebucki,Sea Cucumber
species/8704,Lipotrapeza vestiens,Sea Cucumber
species/8711,Taeniogyrus papillis,Sea Cucumber
species/8706,Pentocnus bursatus,Sea Cucumber
species/4241,Heterodontus portusjacksoni,Port Jackson Shark
species/13742,Allostichaster polyplax,Seastar
species/8282,Palaemon serenus,Red-handed Shrimp
species/15733,Genypterus tigerinus,Rock Ling
species/8301,Enoplosus armatus,Old Wife
species/15207,Arenigobius bifrenatus,Bridled Goby
species/8515,Sabella spallanzanii,European Fan Worm
species/15770,Scorpaena papillosa,Southern Red Scorpionfish
species/15280,Afurcagobius tamarensis,Tamar Goby
species/8513,Lepidonotus melanogrammus,Dark-marked Scale Worm
species/8324,Parma microlepis,White-ear
species/13736,Nereis bifida,Rag Worm
species/8714,Ceratosoma brevicaudatum,Short-tailed Sea Slug
species/15144,Aglaophamus australiensis,Nephtyidae segmented worm
species/15765,Platycephalus fuscus,Dusky Flathead
species/8662,Leptograpsus variegatus,Swift-footed Shore Crab
species/8715,Chromodoris tasmaniensis,Orange Spot Nudibranch
species/8717,Onchidella patelloides,Ocean Beach Slug
species/14311,Eunice bassensis,Eunicid Worm
species/15143,Australonereis ehlersi,Rag Worm
species/13737,Thormora argus,Scale Worm
species/8713,Aplysia parvula,Sea Hare
species/15145,Leitoscoloplos bilobatus,Orbiniid Worm
species/14305,Stiliger smaragdinus,Sap-sucking Sea Slug
species/8287,Gymnothorax prasinus,Green Moray
species/8314,Ophthalmolepis lineolata,Southern Maori Wrasse
species/8642,Ophionereis schayeri,Banded Brittle Star
species/8718,Oxynoe viridis,Sap-sucking Sea Slug
species/8277,Paguristes frontalis,Common Hermit Crab
species/14303,Elysia coodgeensis,Sap-sucking Sea Slug
species/8716,Doriopsilla carneola,Nudibranch
species/13727,Edenttellina typica,Sap-sucking Sea Slug
species/14304,Elysia furvacauda,Sap-sucking Sea Slug
species/14306,Aplysia juliana,Sea Hare
species/13734,Midorigai australis,Sap-sucking Sea Slug
species/13609,Ilbia ilbi,Bubble Shell
species/8727,Austrolittorina unifasciata,Banded Periwinkle
species/15778,Urocampus carinirostris,Hairy Pipefish
species/4243,Trygonorrhina dumerilii,Southern Fiddler Ray
species/13741,Ophioplocus bispinosus,Brittle Star
species/15149,Gobiopterus semivestitus,Glassgoby
species/15195,Zostera nigricaulis,Seagrass
species/15191,Amphibolis antarctica,Sea Nymph
species/8329,Hippocampus abdominalis,Bigbelly Seahorse
species/13732,Cristiceps aurantiacus,Yellow Crested Weedfish
species/8640,Clarkcoma canaliculata,Brittle Star
species/8748,Petricia vernicina,Velvet Seastar
species/15130,Anguilla australis,Southern Shortfin Eel
species/14204,Girella tricuspidata,Luderick
species/8294,Parequula melbournensis,Silverbelly
species/8322,Meuschenia hippocrepis,Horseshoe Leatherjacket
species/15192,Rhombosolea tapirina,Greenback Flounder
species/8696,Octopus berrima,Southern Keeled Octopus
species/8753,Uniophora granifera,Five-armed Seastar
species/8135,Actinia tenebrosa,Waratah Anemone
species/8285,Gnathanacanthus goetzeei,Red Velvetfish
species/8291,Platycephalus laevigatus,Rock Flathead
species/15196,Platycephalus bassensis,Southern Sand Flathead
species/8335,Squatina australis,Australian Angelshark
species/8317,Pseudolabrus rubicundus,Rosy Wrasse
species/8615,Corynactis australis,Jewel Anemone
species/8514,Metabonellia haswelli,Green Spoon Worm
species/14321,Siphonaria diemenensis,False Limpet
species/15193,Trinorfolkia clarkei,Clark's Threefin
species/8614,Aulactinia veratra,Anemone
species/8645,Cryptoplax striata,Chiton
species/14309,Mustelus antarcticus,Gummy Shark
species/15139,Teredo bartschi,Shipworm
species/8643,Ophiothrix (Ophiothrix) caespitosa,Five-armed Brittle Star
species/8647,Balanophyllia bairdiana,Solitary Coral
species/8644,Ophiothrix (Placophiothrix) spongicola,Brittle Star
species/8751,Tosia magnifica,Biscuit Star
species/8749,Smilasterias multipara,Black and White Seastar
species/15190,Ecklonia radiata,Common Kelp
species/8675,Pilumnus fissifrons,Tasselled Crab
species/14288,Antedon loveni,Feather Star
species/14294,Alabes dorsalis,Common Shore Eel
species/8304,Aracana aurita,Shaw's Cowfish
species/8312,Dactylophora nigricans,Dusky Morwong
species/14286,Amphiura (Amphiura) constricta,Brittle Star
species/8664,Mictyris platycheles,Soldier Crab
species/8617,Oulactis,Anemone
species/8648,Austrodromidia octodentata,Bristled Sponge-crab
species/8646,Ischnochiton (Ischnochiton) elongatus,Elongate Ischnochiton
species/14307,Callorhinchus milii,Elephantfish
species/8722,Cominella (Cominella) lineolata,Lineated Cominella
species/8720,Austrocochlea constricta,Ribbed Top Shell
species/8284,Aetapcus maculatus,Warty Prowfish
species/13726,Platycephalus aurimaculatus,Toothy Flathead
species/14310,Pristiophorus nudipinnis,Southern Sawshark
species/14297,Nesogobius pulchellus,Sailfin Goby
species/13729,Chrysophrys auratus,Snapper
species/6415,Macquaria colonorum,Estuary Perch
species/8700,Octopus warringa,Club Pygmy Octopus
species/8323,Paraplesiops meleagris,Southern Blue Devil
species/8328,Vincentia conspersa,Southern Cardinalfish
species/8289,Omobranchus anolius,Oyster Blenny
species/14296,Platycephalus richardsoni,Tiger Flathead
species/14308,Galeorhinus galeus,School Shark
species/14300,Heteroclinus heptaeolus,Ogilby's Weedfish
species/14384,Plaxiphora (Plaxiphora) albida,Chiton
species/13731,Bovichtus angustifrons,Dragonet
species/14383,Ischnochiton (Ischnoradsia) australis,Chiton
species/8641,Ophiomyxa australis,Brittle Star
species/8613,Anthothoe albocincta,Orange and White Stripe Anemone
species/8290,Parablennius tasmanianus,Tasmanian Blenny
species/14302,Haletta semifasciata,Blue Weed Whiting
species/15194,Sycozoa cerebriformis,Brain Ascidian
species/13733,Notolabrus fucicola,Purple Wrasse
species/14322,Stenochiton cymodocealis,Chiton
species/14299,Stigmatopora nigra,Widebody Pipefish
species/8134,Phlyctenanthus australis,Southern Anemone
species/13725,Paraplesiops alisonae,Alison's Blue Devil
species/8740,Pyura stolonifera,Cunjevoi
species/8332,Carcharodon carcharias,White Shark
species/8616,Epiactis,Anemone
species/8698,Callistoctopus bunurong,Southern White-spot Octopus
species/14295,Alabes parvula,Pygmy Shore Eel
species/8330,Pegasus lancifer,Sculptured Seamoth
species/14298,Acanthaluteres vittiger,Toothbrush Leatherjacket
species/8315,Pentaceropsis recurvirostris,Longsnout Boarfish
species/15231,Achoerodus viridis,Eastern Blue Groper
species/8782,Amphipholis squamata,Brittle Star
species/14301,Eupetrichthys angustipes,Snakeskin Wrasse
species/8699,Octopus superciliosus,Frilled Pygmy Octopus
species/13912,Bimeria australis,Hydroid
species/15020,Hormosira banksii,Neptune's Necklace
species/15279,Redigobius macrostoma,Largemouth Goby
species/15021,Tethya,Golf Ball Sponge
species/8318,Acanthaluteres spilomelanurus,Bridled Leatherjacket
species/14318,Plectaster decanus,Seastar
species/8726,Haliotis rubra,Black-lipped Abalone
species/8516,Sabellastarte,Feather-duster Worm
species/8619,Zoantharia,Zoanthid
species/8781,Amoria undulata,Wavy Volute
species/8729,Phasianella australis,Pheasant Shell
species/8747,Pentagonaster duebeni,Vermillion Seastar
species/8732,Polinices (Conuber) sordidus,Moon Snail egg mass
species/8687,Siphonaria diemenensis,False Limpet
species/15755,Ophisurus serpens,Serpent Eel
species/8723,Conus anemone,Anemone Cone
species/8752,Tosia neossia,Biscuit Star
species/8686,Cellana tramoserica,Common Limpet
species/15154,Spisula (Notospisula) trigonella,Bivalve
species/8733,Pterochelus triformis,Three-shaped Murex
species/8658,Heloecius cordiformis,Semaphore Crab
species/8659,Helograpsus haswellianus,Haswell's Shore Crab
species/8690,Sagmariasus verreauxi,Eastern Rock Lobster
species/8631,Mimachlamys asperrima,Doughboy Scallop
species/8634,Glycymeris (Veletuceta) grayana,Dog Cockle
species/8636,Musculista senhousia,Senhouse's Mussel
species/8780,Haliotis laevigata,Green-lipped Abalone
species/15189,Callyspongia (Callyspongia),Sponge
species/8298,Scorpis lineolata,Silver Sweep
species/8724,Notocypraea comptonii,Brown Cowry
species/14317,Meridiastra atyphoida,Seastar
species/8730,Phasianotrochus eximius,Kelp Shell
species/8721,Bembicium nanum,Striped-mouth Conniwink
species/5015,Polinices (Conuber) sordidus,Moon Snail
species/6637,Bembicium melanostomum,Common Conniwink
species/8734,Scutus (Scutus) antipodes,Elephant Snail
species/14089,Plumularia procumbens,Hydroid
species/8779,Anadara (Anadara) trapezia,Mud Ark
species/8632,Donax (Plebidonax) deltoides,Pipi
species/8633,Fulvia (Fulvia) tenuicostata,Thin-ribbed Cockle
species/8728,Opalia (Opalia) australis,Southern Wentletrap
species/15188,Chondropsis kirki,Sponge
species/8725,Dicathais orbita,Dog Winkle
species/13743,Aquilonastra scobinata,Seastar
species/13967,Gymnangium prolifer,Hydroid
species/14086,Sertularia tenuis,Hydroid
species/14019,Obelia dichotoma,Hydroid
species/8637,Neotrigonia margaritacea,Common Brooch Shell
species/8635,Katelysia scalarina,Stepped Venerid
species/14032,Pycnotheca producta,Hydroid
species/14034,Ralpharia magnifica,Hydroid
species/13730,Stigmatopora argus,Spotted Pipefish
species/8630,Brachidontes (Brachidontes) rostratus,Beaked Mussel
species/14092,Amphisbetia fasciculata,Hydroid
species/8735,Turbo (Subninella) undulatus,Turban Shell
species/14059,Symplectoscyphus indivisus,Hydroid
species/8783,Meridiastra gunnii,Six-armed Cushion Star
species/14320,Anapella cycladea,Bivalve Mollusc
species/14319,Paranepanthia grandis,Seastar
species/13943,Eudendrium generale,Hydroid
species/15204,Callyspongia (Callyspongia),Sponge
species/15205,Callyspongia (Toxochalina),Sponge
species/14316,Holopneustes porosissimus,Sea Urchin
species/13932,Diphasia subcarinata,Hydroid
species/14314,Goniocidaris tubaria,Thorny Sea Urchin
species/8778,Lasaea australis,Bivalve Mollusc
species/13856,Plumularia angusta,
species/13862,Pycnotheca mirabilis,
species/13963,Gymnangium ilicistomum,Hydroid
species/13840,Monotheca amphibola,
species/13854,Parascyphus simplex,
species/13821,Hebella furax,
species/13823,Hydractinia betkensis,
species/13824,Hydranthea,
species/13825,Hydranthea margarica,
species/13826,Hydrodendron blackburni,
species/13828,Lineolariidae,
species/13829,Lobataria,
species/13830,Lytocarpia delicatula,
species/13831,Lytocarpia orientalis,
species/13833,Macrorhynchia filamentosa,
species/13834,Macrorhynchia mulderi,
species/13835,Macrorhynchia quadriarmata,
species/13851,Orthopyxis crenata,
species/13924,Clytia hemisphaerica,Hydroid
species/13853,Orthopyxis integra,
species/13863,Ralpharia,
species/13845,Nicoliana,
species/13873,Sertularia maccallumi,
species/13977,Halecium interpolatum,Hydroid
species/13978,Halecium luteum,Hydroid
species/13979,Halecium macrocaulus,Hydroid
species/13980,Halecium ovatum,Hydroid
species/14027,Plumularia goldsteini,Hydroid
species/14013,Monotheca australis,Hydroid
species/13767,Campanulina,
species/13975,Halecium elegantulum,Hydroid
species/13765,Calamphora campanulata,
species/13766,Campanularia diverticula,
species/13768,Campanulina cliftonia,
species/13769,Campanulina elata,
species/13771,Cladacanthella scabra,
species/13772,Cladocoryne floccosa,
species/13773,Cladocoryne minuta,
species/13774,Clathrozoella,
species/13775,Clathrozoella abyssalis,
species/13776,Clathrozoella bathyalis,
species/13777,Clathrozoella drygalskii,
species/13778,Clathrozoella medeae,
species/13779,Clathrozoellidae,
species/13780,Corydendrium parasiticum,
species/13781,Coryne eximia,
species/13782,Corystolona,
species/13784,Crateritheca crenata,
species/13785,Dentitheca alata,
species/13857,Plumularia crateriformis,
species/13844,Monotheca togata,
species/13836,Mitrocomium alcoicum,
species/13837,Monstaechas,
species/14082,Zyzzyzus spongicolus,Hydroid
species/14077,Thyroscyphus marginatus,Hydroid
species/14012,Merona operculata,Hydroid
species/13855,Pennaria disticha,
species/14016,Nemertesia cylindrica,Hydroid
species/14029,Plumularia setacea,Hydroid
species/14022,Phialella quadrata,Hydroid
species/14008,Macrorhynchia ambigua,Hydroid
species/13842,Monotheca obliqua,
species/14009,Macrorhynchia philippina,Hydroid
species/13786,Dentitheca hertwigi,
species/14018,Obelia angulosa,Hydroid
species/13787,Dicoryne annulata,
species/14070,Tasmanaria aegis,Hydroid
species/13788,Diphasia digitalis,
species/14073,Thuiaria plumularioides,Hydroid
species/13789,Dynamena spinea,
species/14074,Thyroscyphoides sympodialis,Hydroid
species/13790,Ectopleura exxonia,
species/14078,Thyroscyphus torresi,Hydroid
species/13791,Ectopleura larynx,
species/14079,Tripoma arboreum,Hydroid
species/13792,Eirene,
species/14080,Zygophylax sagamiensis,Hydroid
species/13793,Eudendrium currumbense,
species/14060,Symplectoscyphus neglectus,Hydroid
species/13794,Eudendrium pennycuikae,
species/14069,Synthecium subventricosum,Hydroid
species/13795,Filellum antarcticum,
species/14081,Zygophylax sibogae,Hydroid
species/13942,Eudendrium deforme,Hydroid
species/13944,Eudendrium glomeratum,Hydroid
species/13945,Eudendrium infundibuliforme,Hydroid
species/13946,Eudendrium kirkpatricki,Hydroid
species/13947,Eudendrium macquariensis,Hydroid
species/13993,Hydrodendron armatum,Hydroid
species/13948,Eudendrium merulum,Hydroid
species/13949,Eudendrium minutum,Hydroid
species/13950,Eudendrium nambuccense,Hydroid
species/14020,Obelia geniculata,Hydroid
species/13899,Aglaophenia pseudoplumosa,Hydroid
species/13900,Aglaophenia sinuosa,Hydroid
species/13901,Amphisbetia avia,Hydroid
species/13904,Amphisbetia olseni,Hydroid
species/13814,Halopteris diaphana,
species/13815,Halopteris everta,
species/13816,Halopteris plagiocampa,
species/13817,Hebella,
species/13818,Hebella albida,
species/13819,Hebella costata,
species/13820,Hebella dyssymetra,
species/13822,Hebella scandens,
species/13843,Monotheca pulchella,
species/13859,Plumularia sulcata,
species/13850,Orthopyxis australis,
species/13847,Obelia,
species/13860,Plumularia tubacarpa,
species/13865,Rathkea,
species/14021,Orthopyxis angulata,Hydroid
species/13971,Halecium antarcticum,Hydroid
species/14003,Lobataria newtoni,Hydroid
species/14044,Sertularella decipiens,Hydroid
species/14045,Sertularella diaphana,Hydroid
species/13760,Amphisbetia minuscula,
species/14061,Symplectoscyphus paulensis,Hydroid
species/14071,Tasmanaria monticola,Hydroid
species/14072,Thuiaria operculata,Hydroid
species/14031,Polyplumaria cornuta,Hydroid
species/14033,Ralpharia coccinea,Hydroid
species/14037,Salacia desmoides,Hydroid
species/14047,Sertularella quadridens,Hydroid
species/14049,Sertularella vervoorti,Hydroid
species/14035,Rosalinda marlina,Hydroid
species/14038,Salacia flavidula,Hydroid
species/14050,Sertularia unguiculata,Hydroid
species/14055,Stegolaria geniculata,Hydroid
species/14057,Symplectoscyphus epizoicus,Hydroid
species/13888,Ventromma,
species/13783,Crateritheca acanthostoma,
species/13755,Acryptolaria operculata,
species/13756,Aglaophenia brachiata,
species/13770,Campanulinidae,
species/13764,Anthohebella,
species/13799,Gattya balei,
species/13758,Aglaophenia recherchia,
species/13761,Amphisbetia minuta,
species/13762,Amphisbetia operculata,
species/13763,Antennella singulata,
species/14017,Nemertesia procumbens,Hydroid
species/14084,Sertularella marginata,Hydroid
species/14090,Orthopyxis caliculata,Hydroid
species/13981,Halecium pearsonense,Hydroid
species/13982,Halecium ralphae,Hydroid
species/13841,Monotheca hyalina,
species/13796,Filellum nitidum,
species/13797,Filellum serpens,
species/13798,Filellum serratum,
species/13800,Gonothyraea,
species/13801,Gonothyraea loveni,
species/13802,Gymnangium australimage,
species/13803,Gymnangium gracilicaule,
species/13811,Halecium tabulatum,
species/13812,Halecium tenellum,
